timeStamp,*.*..www00...www.denominator,us-east-1.*..cloudfront00...cloudfront.monolith,us-east-1.*..webserver-elb00...webserver-elb.elb,us-east-1.zoneA..webserver09...webserver.monolith,us-east-1.*..appserver-elb00...appserver-elb.elb,us-east-1.zoneB..appserver04...appserver.monolith,us-east-1.zoneB..rdsmysql01...rdsmysql.store,us-east-1.*..content-s300...content-s3.store,us-east-1.zoneB..webserver10...webserver.monolith,us-east-1.zoneA..rdsmysql00...rdsmysql.store,us-east-1.zoneB..webserver01...webserver.monolith,us-east-1.zoneA..appserver03...appserver.monolith,us-east-1.zoneA..webserver06...webserver.monolith,us-east-1.zoneC..appserver02...appserver.monolith,us-east-1.zoneB..webserver07...webserver.monolith,us-east-1.zoneA..webserver00...webserver.monolith,us-east-1.zoneA..webserver03...webserver.monolith,us-east-1.zoneA..appserver00...appserver.monolith,us-east-1.zoneB..appserver01...appserver.monolith,us-east-1.zoneC..webserver11...webserver.monolith,us-east-1.zoneB..webserver04...webserver.monolith,us-east-1.zoneC..appserver05...appserver.monolith,us-east-1.zoneC..webserver08...webserver.monolith,us-east-1.zoneC..webserver02...webserver.monolith,us-east-1.zoneC..webserver05...webserver.monolith,tag
1,0.148666667,0.111333333,0.1215,0,0.072,0.056,0.025,0.025,0,0.04,0,0,0,0.042,0,0.101,0,0,0,0,0.093,0,0,0,0,0
2,0.105,0.066,0.089,0,0.0405,0.017,0.004,0.0035,0.065,0.003,0,0,0,0,0,0,0,0,0,0,0.066,0.017,0,0,0,0
3,0.064,0.0215,0,0,0,0,0,0.0045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.134,0.089666667,0.0965,0,0.044,0,0.005,0.007,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0.022,0.076,0.068,0,0
5,0.1214,0.0796,0.091666667,0,0.041,0.018,0.0035,0.0035,0,0.004,0,0,0,0.019,0.065,0,0.07,0,0,0,0,0,0.067,0,0,0
6,0.108,0.068,0.086,0,0.039,0.017,0,0.004,0,0.003,0,0,0,0,0.062,0,0,0,0,0,0,0,0,0,0,0
7,0.1182,0.0742,0.084333333,0,0.035,0.012,0.004,0.004,0,0.004,0,0.014,0.0555,0,0,0,0,0.018,0,0.069,0,0,0,0,0,0
8,0.1075,0.0655,0.087,0,0.044,0,0,0.004,0,0.003,0.067,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0
9,0.151,0.1145,0.0875,0,0.0395,0,0.003,0,0,0.003,0,0,0,0.018,0,0.063,0,0,0,0.063,0,0.017,0,0,0,0
10,0.12,0.083666667,0.089,0,0.0415,0,0.003,0.004,0,0.003,0,0.018,0,0,0,0,0,0,0,0.068,0,0.017,0,0.064,0,0
11,0.0768,0.0356,0.063,0,0.028,0,0,0.004,0,0.003,0,0,0,0,0.046,0,0,0.011,0,0,0,0,0,0,0,0
12,0.1406,0.0952,0.08925,0,0.041,0,0.0035,0.003,0.058,0,0,0,0,0.017,0.072,0.065,0,0.018,0,0,0,0.011,0.064,0,0,0
13,0.086,0.039,0.078,0,0.037,0.015,0,0.0045,0,0.005,0,0,0.058,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.1192,0.0738,0.080333333,0,0.036666667,0,0.003333333,0.0055,0,0,0,0,0.066,0.012,0.046,0,0,0,0.018,0,0.062,0.018,0,0,0,0
15,0.110666667,0.06,0.101,0,0.042,0,0.005,0.004,0.074,0,0,0,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0
16,0.061666667,0.017333333,0,0,0,0,0,0.003666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.11975,0.073,0.0865,0,0.039,0,0.004,0.0035,0,0.004,0.062,0,0,0.017,0,0,0,0,0.017,0.059,0,0,0,0,0,0
18,0.1208,0.0764,0.081333333,0,0.037333333,0.021,0.003,0.0035,0.06,0.004,0,0,0,0.013,0.051,0,0,0,0.018,0,0,0,0,0,0.067,0
19,0.138,0.0794,0.087,0.051,0.038666667,0,0,0.004,0.067,0.004,0,0.015,0,0.02,0,0,0,0,0,0.077,0,0.018,0,0,0,0
20,0.111333333,0.08225,0.102,0,0.044,0,0.004,0.0055,0,0,0.07,0,0,0,0,0,0,0,0.02,0,0.082,0,0,0,0,0
21,0.43925,0.313,0.806,0,0.091,0,0,0.004666667,0.147,0.007,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0
22,0.153,0.10275,0.098333333,0,0.041333333,0.019,0.005,0.005,0,0.004,0,0.012,0,0,0,0,0,0,0.021,0,0.066,0,0,0.077,0,0
