timestamp,denominator_00,cloudfront_00,webserver-elb_00,webserver_02,appserver-elb_00,appserver_01,rdsmysql_01,content-s3_00,webserver_09,appserver_00,rdsmysql_00,webserver_08,appserver_03,appserver_04,appserver_02,webserver_03,webserver_04,webserver_05,appserver_05,webserver_07,webserver_06,webserver_10,webserver_00,webserver_01,webserver_11
1,0.139571429,0.086428571,0.10875,0,0.0585,0,0.003,0.004333333,0,0.013,0.003,0,0,0.018,0.02,0,0.065,0.097,0.023,0,0.121,0,0,0.062,0
2,0.110333333,0.071,0.092333333,0,0.042333333,0,0.003,0.006,0,0,0,0.077,0,0.0165,0.003,0,0,0,0,0,0,0,0,0.0645,0
3,0.069,0.0325,0.08,0,0.037,0,0,0.0044,0,0.02,0.003,0,0,0,0,0.059,0,0,0,0,0,0,0,0,0
4,0.11375,0.06825,0.08375,0.054,0.039,0,0.004,0.0045,0,0,0.003,0,0.0135,0.017,0.004,0,0.0635,0,0,0,0,0.064,0,0,0
5,0.116714286,0.075857143,0.09225,0,0.043,0,0.003,0.004333333,0.068,0,0.003,0.068,0.0165,0.018,0.004,0,0,0.077,0,0,0.064,0,0,0,0
6,0.127111111,0.083111111,0.086333333,0.0585,0.038666667,0.0175,0.00375,0.004333333,0,0,0.004,0.073,0.013,0.0155,0,0,0,0.072,0.004,0.069,0,0,0,0.054,0
7,0.120375,0.076625,0.1005,0,0.04375,0,0,0.004,0,0.018,0.0035,0,0.015,0,0.004,0,0,0,0.004,0.075,0,0,0,0.078,0.075
8,0.095857143,0.049,0.092,0,0.041,0,0.004,0.0048,0,0,0,0,0,0.018,0,0,0,0,0.004,0,0,0.061,0,0,0.076
9,0.0952,0.0414,0.088,0.065,0.039,0,0,0.00475,0,0.015,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.132777778,0.083555556,0.101,0.081,0.0504,0.021,0.004,0.00525,0,0,0.003,0.11,0.013,0.031,0.004,0.079,0.066,0,0.004,0,0,0.054,0,0,0
11,0.164714286,0.108428571,0.1024,0,0.0462,0.02,0.004,0.006,0,0,0.004,0.077,0.019,0.02,0.02,0,0.082,0.067,0,0,0,0,0,0,0.082
12,0.124833333,0.079,0.103666667,0,0.043666667,0,0,0.005,0.086,0.021,0.005666667,0,0,0,0.022,0,0,0,0.018,0,0,0,0,0,0.0765
13,0.142857143,0.094285714,0.0898,0.06,0.0386,0.015,0.003666667,0.005,0.066,0,0.0045,0,0.01675,0,0,0,0.067,0,0,0,0,0,0.069,0.072,0
14,0.115857143,0.068571429,0.098333333,0.074,0.042,0,0.003333333,0.00475,0,0,0,0,0.0155,0,0,0,0,0,0.015,0,0,0,0.084,0.065,0
15,0.17775,0.12975,0.095875,0,0.041875,0.02,0.00425,0,0.084,0.018,0.0045,0.0765,0.019,0.015,0.016,0,0.0645,0,0.018,0,0,0,0,0.067,0.073
16,0.169666667,0.123,0.099625,0,0.0435,0.020666667,0.00425,0.009,0,0.018,0.00425,0.075,0,0.016666667,0,0,0,0.078,0.024,0.0755,0,0,0,0,0.073
17,0.135428571,0.088285714,0.103,0,0.04675,0,0.005,0.005,0,0.023,0.004,0,0,0,0.0165,0.081,0,0.07,0.019,0,0,0,0,0.0765,0
18,0.122,0.074833333,0.093333333,0,0.038666667,0.012,0.004,0.007666667,0,0,0.004,0,0,0.015,0,0,0,0,0.019,0.064,0.069,0,0,0,0.071
19,0.145,0.088625,0.0944,0.074,0.042,0.016,0.0055,0.006666667,0,0,0.004666667,0.079,0.02,0,0.013,0,0,0.064,0.02,0,0,0,0,0.068,0
20,0.152857143,0.105142857,0.1058,0,0.0462,0,0.003666667,0.0045,0.084,0.017,0.0035,0.075,0.019,0.019,0.0185,0.072,0.084,0,0,0,0,0,0,0,0.08
21,0.1272,0.0854,0.094333333,0,0.042666667,0.018,0.004,0.006,0,0.018,0.004,0,0.019,0,0,0,0,0,0,0,0,0.076,0.062,0,0.075
22,0.2015,0.090333333,0.104333333,0,0.045666667,0.0185,0.0045,0.010333333,0,0,0.004,0,0,0,0,0.075,0,0,0.017,0.079,0,0,0,0,0
23,0.166714286,0.115428571,0.1092,0,0.0484,0.023,0.0055,0.01,0.078,0.0175,0.004,0.078,0,0.023,0.021,0,0,0,0,0,0,0,0.084333333,0,0
24,0.1285,0.081625,0.10075,0,0.04575,0.024,0.008,0.00975,0.074,0,0.004333333,0,0.0165,0,0,0.085,0,0.073,0.02,0,0,0,0.072,0,0
25,0.151166667,0.101666667,0.105,0,0.047,0.019,0.005,0.009,0,0.017,0.004,0.084,0,0,0.021,0.082,0.077,0,0,0,0,0.077,0,0,0
26,0.150857143,0.103571429,0.1028,0,0.0444,0.018,0.004,0.0075,0.081,0.021,0.00475,0.079,0.019,0.017,0,0.064,0.081,0,0,0.072,0,0,0,0,0
27,0.1265,0.076333333,0.094666667,0,0.042,0,0.004,0.008,0.06,0.018,0.005,0,0.019,0,0.02,0.086,0.068,0,0,0,0,0,0,0,0
