productcatalogservice-76cccdc9d8-6nk6g,frontend-7ccb676d6d-blphg,checkoutservice-5865c57b66-zpwqq,productcatalogservice-76cccdc9d8-bj6nk,productcatalogservice-76cccdc9d8-vz267,frontend-7ccb676d6d-jtxzq,productcatalogservice-76cccdc9d8-7j9ll,productcatalogservice-76cccdc9d8-jtrlp,paymentservice-d4b77979b-47wmn,currencyservice-856499b5db-lkwm7,productcatalogservice-76cccdc9d8-srwdn,adservice-76469b5944-qsr6k,emailservice-7758c6765c-2j5dj,recommendationservice-6f6d584d7f-vbz7w,checkoutservice-5865c57b66-84sp7,productcatalogservice-76cccdc9d8-4r778,productcatalogservice-76cccdc9d8-wrfsq,paymentservice-d4b77979b-lt5ld,productcatalogservice-76cccdc9d8-vsw78,shippingservice-7499794f94-gmcld,recommendationservice-6f6d584d7f-9npgz,recommendationservice-6f6d584d7f-9jqvl,productcatalogservice-76cccdc9d8-xlzt2,productcatalogservice-76cccdc9d8-jhqf6,frontend-7ccb676d6d-jjcf9,frontend-7ccb676d6d-ln6jw,adservice-76469b5944-h6cqg,currencyservice-856499b5db-7954f,currencyservice-856499b5db-zjm6k,cartservice-7678657b45-nnr5h,productcatalogservice-76cccdc9d8-cknh2,cartservice-7678657b45-jn8f2,frontend-7ccb676d6d-prndn,currencyservice-856499b5db-vpzwz,productcatalogservice-76cccdc9d8-hgks6,cartservice-7678657b45-5xr6g,cartservice-7678657b45-5ps5q,recommendationservice-6f6d584d7f-wk9lg,cartservice-7678657b45-s8zjs,currencyservice-856499b5db-hfg4j,cartservice-7678657b45-j2l8k,shippingservice-7499794f94-s67q7,productcatalogservice-76cccdc9d8-hfczp,currencyservice-856499b5db-8wn2t,currencyservice-856499b5db-zp88b,currencyservice-856499b5db-m87pf,adservice-76469b5944-9tlwk,adservice-76469b5944-sqhfq,productcatalogservice-76cccdc9d8-49ggr,frontend-7ccb676d6d-b7rlj
0.322208586,2.280661634,1.531797379,0.653136615,0.683505427,2.700368182,0.368182863,0.556292714,0.070247153,0.762974399,0.682096206,2.003283871,0.317928862,1.209660167,1.36903728,0.277380925,0.461555741,0.077927264,0.381715257,0.190636617,1.159362635,1.875163874,0.659202853,0.250648877,3.198883448,2.685805301,2.333726299,0.721653083,1.17717506,1.089441844,0.426415476,0.894583283,2.700703,1.523840816,0.454796011,0.548370859,0.686213573,1.077718777,0.873264548,1.140837264,1.015986539,0.190950774,0.381839396,0.788147479,1.152459229,1.199157968,2.579967878,1.416535541,0.402747727,2.931408175
0.417793587,2.867641174,1.772182479,0.694413904,0.55069443,2.309512854,0.259390732,0.677898557,0.118874632,0.756034041,0.635695487,0.85209553,0.27460499,1.345943238,1.373538102,0.296403969,0.488487372,0.08112627,0.42329526,0.250629788,0.843134788,1.534557559,0.460812547,0.330709831,2.944992311,2.834284694,1.915616751,0.79124908,0.871682211,1.045888232,0.582058826,0.877629456,2.115807368,1.084503458,0.609759023,0.770758002,0.691771574,1.54828325,1.011033812,1.238862368,0.957415034,0.17905538,0.390793684,0.701141327,0.964090854,0.911245484,2.563622912,0.988738562,0.271295772,2.993876235
0.315672594,3.325622136,1.278738004,0.721174629,0.601891502,2.574408668,0.223713063,0.645772685,0.101594396,0.746711978,0.713059309,2.024327621,0.234663856,1.015844493,1.065830055,0.375715778,0.511302816,0.059312729,0.323677357,0.23014515,0.845169298,1.388567307,0.418447898,0.381184751,2.995953184,2.905166067,2.219945925,0.969600349,0.796221944,0.762693675,0.559952956,0.930073222,2.767173909,1.13014698,0.626687371,0.684696786,0.457943885,1.593143392,1.160253424,0.842897272,0.727595763,0.218626816,0.373533091,0.706620757,1.18362471,1.134402002,2.655893121,1.577289187,0.388091858,2.779108213
0.27822132,3.482891703,0.97740833,0.395961492,0.54526742,2.022029363,0.268515432,0.52402878,0.05659362,0.426265724,0.540616669,1.461299683,0.222300807,1.606449551,1.059431287,0.362494369,0.652667356,0.09778794,0.262000472,0.120718686,1.122808805,1.832279498,0.537389561,0.243228242,2.427940608,1.716379007,2.350126032,0.748106767,1.188904614,0.910754502,0.364342443,0.848851,1.867706129,0.955653333,0.330319737,0.733239767,0.577440559,1.235930189,1.116478122,1.163454642,0.847797242,0.205550649,0.355272879,0.608482256,0.990021801,1.084112817,2.659674208,1.610602825,0.388371889,2.858540066
0.426808213,3.777725368,1.17961314,0.698743265,0.708537347,2.747632614,0.200722707,0.493617034,0.094632951,0.64018498,0.523181746,2.091096101,0.321142344,1.42437087,1.189132918,0.387014518,0.683360975,0.077844183,0.40518391,0.179138893,1.244241652,1.422785328,0.671029878,0.397178867,3.001599849,2.004231718,2.393401429,1.042649674,1.32828936,1.035894733,0.601874556,0.960509266,2.878139084,1.302298363,0.418637316,0.803032291,0.500428939,1.604854677,1.195764631,1.005552787,0.986484629,0.228768468,0.258123193,0.806124131,1.008603396,1.150187426,2.666431592,1.25193114,0.332864195,3.158560461
0.413211525,2.852712483,1.025062712,0.39543556,0.584412994,2.969032077,0.284576631,0.710281945,0.105187807,0.596061006,0.692586972,2.037496941,0.266396161,1.533404339,1.198390252,0.323273302,0.565369307,0.066570731,0.326489903,0.20409499,0.948581049,1.862791922,0.669520946,0.390222882,2.301194072,2.874310754,2.5744158,1.10153638,1.270300061,1.078085653,0.551020766,0.843021735,2.755728165,0.804998582,0.664027713,0.608101172,0.666031204,1.204934113,1.071204079,1.244901838,1.125531912,0.232848863,0.381006791,0.676429036,1.176125446,1.241120398,2.136954074,1.147776437,0.385590048,3.115558314
0.441396122,2.837609237,1.078604115,0.633982063,0.673578021,2.570120917,0.376274742,0.660010393,0.081006737,0.612623467,0.43794854,2.107945783,0.334555594,1.648169067,1.088389462,0.371021629,0.558946887,0.083969489,0.300976483,0.185132903,1.141419972,1.318591998,0.541724484,0.396266289,3.188673406,2.943672696,1.806395407,1.070575123,1.27900967,1.117423981,0.619319792,0.641495123,2.717114237,1.002752198,0.486783812,0.778883443,0.308264223,1.287258849,0.82964899,1.030050935,1.015948022,0.230808666,0.380907747,0.535832459,1.195406438,1.170824946,1.904408459,1.548372053,0.298528987,3.055731281
0.427303824,3.478877824,1.051833414,0.514708812,0.628995508,2.769576497,0.330425687,0.685146169,0.093097272,0.604342237,0.565267756,2.072721362,0.300475878,1.590786703,1.143389857,0.347147466,0.562158097,0.07527011,0.240545493,0.194613947,1.045000511,1.59069196,0.605622715,0.393244585,3.025529667,2.908991725,2.190405604,1.086055752,1.274654866,1.097754817,0.585170279,0.742258429,2.687123113,0.90387539,0.575405763,0.693492308,0.487147714,1.246096481,1.262300271,1.137476387,1.070739967,0.230504385,0.380957269,0.606130748,1.185765942,1.205972672,2.020681267,1.348074245,0.342059518,3.085644797
0.307450809,3.158243531,1.135110012,0.646995813,0.667521207,2.87820137,0.360947244,0.311713533,0.065587797,0.562508324,0.623812552,1.582422757,0.294890575,1.617719149,1.382053372,0.204988793,0.649084374,0.045814152,0.270760988,0.15274571,1.062077516,1.75056572,0.648550969,0.287179219,3.107101537,1.581084195,2.417268102,1.356403576,1.062223933,0.779095539,0.550891224,0.937164948,2.702118675,1.259909769,0.623508488,0.599326926,0.560424252,1.544055828,1.045974631,1.203867911,0.687849011,0.218083241,0.357572929,0.800766084,1.23088755,0.956777611,2.233354271,1.121108244,0.383266236,2.91364485
0.331534437,3.438517493,1.613680702,0.642769324,0.664564421,1.73299608,0.360756281,0.57264067,0.113474046,0.757063532,0.63040369,2.013050256,0.244241316,1.149110075,1.041447571,0.377299705,0.500637241,0.057568092,0.389225685,0.243153467,1.134439957,1.759331245,0.67676197,0.252086176,2.334446552,2.723054133,2.445847529,0.764517215,1.33527311,0.742106143,0.481506322,0.912717957,2.804988178,1.190277473,0.61952943,0.666372257,0.495762254,1.100620771,1.085288338,0.996581778,0.763244016,0.15678212,0.375567662,0.809208822,1.261186348,0.941531132,0,1.31596437,0.386626499,3.096846976
