meanws,pca1,pca2,pca3,pca4,pca5,ws1,ws2,ws3,ws4,ws5,ws6,ws7,ws8,ws9,ws10,ws11,ws12,ws13,ws14,ws15,ws16,ws17,ws18,ws19,ws20,ws21,ws22,WP
4.16,-27.22735313,0.981797013,2.619216152,1.126963293,-1.426331798,2.93,1.96,3.59,4.66,6.95,4.98,5.4,3.96,3.55,3.1,2.9,2.18,2.89,2.87,3.49,2.82,4.93,5.57,4.38,5.77,5.57,7.07,1.26863
4.479545455,-25.74757942,0.476864867,2.743618884,0.765416527,-1.829836493,2.86,1.64,4.08,5.1,6.99,4.59,5.45,4.35,3.89,3.6,3.66,2.76,2.8,3.8,3.79,3.05,4.87,5.89,5.12,6.92,5.89,7.45,1.68198
4.226363636,-26.80068654,0.114181348,2.269125056,0.997710095,-1.398432249,3.38,1.31,3.22,4.97,6.7,4.43,4.61,4.38,3.25,3.48,3.41,2.39,2.4,3.44,4.14,2.95,4.71,5.92,4.71,6.21,5.92,7.05,1.50714
4.239090909,-26.84676229,1.312645334,3.129451473,0.542516869,-1.535816985,2.83,1.41,3.21,4.99,7.48,4.78,5.41,4.92,3.96,3.46,2.93,1.99,2.31,3.18,3.52,2.85,4.79,5.91,4.81,5.25,5.91,7.36,1.56537
4.28,-26.55860574,0.506300727,2.538247706,0.757659512,-0.995413657,3.45,1.15,3.28,4.66,7.59,4.41,5.05,4.76,3.57,3.3,3.02,2.08,2.3,3.96,4.3,3.22,5.1,5.75,4.28,5.53,5.75,7.65,1.64802
4.190454545,-27.11624792,-0.757656774,4.108601003,1.008027836,-0.167534008,4.04,0.92,3.31,4.37,7.2,4.1,4.83,4.37,3.12,3.02,2,1.43,1.83,3.47,3.78,2.63,4.9,6.35,5.41,6.87,6.35,7.89,1.72791
4.223636364,-27.0242434,-1.66540614,4.526758859,0.478906034,-0.550580751,3.27,1.01,3.19,3.92,6.32,4.77,4.71,4.26,3.37,2.55,2.02,1.6,1.89,3.32,4.03,2.63,5.2,6.45,6.9,7.49,6.45,7.57,1.97036
4.41,-26.10020653,-0.548952822,3.915754287,-0.070378536,-0.987970842,3.25,1.14,3.09,4.07,7.53,4.9,5.04,4.57,3.29,3.39,3.35,2.01,2.26,3.84,3.87,2.42,4.7,6.39,6.07,7.44,6.4,8,2.02841
4.424090909,-26.10809272,-1.487508769,4.584768121,0.288951878,0.476817606,4.45,1.15,2.77,3.65,7.28,5.41,4.84,4.22,3.09,3,2.82,1.43,1.58,3.57,4.07,2.58,5.38,6.88,7.45,7.48,6.88,7.35,2.26243
4.579090909,-25.58191566,0.030148577,5.880204745,1.166032321,1.529410033,5.48,2.19,3.55,4.13,8.54,6.88,5.1,4.67,2.53,2.64,2.67,0.97,1.33,3.24,2.71,2.15,4.93,7.05,7.64,7.73,7.05,7.56,2.86591
4.945454545,-23.76883683,-0.625103082,5.673163918,0.950276382,0.986404996,4.83,2.29,3.39,4.36,8.73,7.07,5.79,4.66,2.57,2.94,3.29,1.43,1.45,4.34,4.28,3.21,5.39,7.71,7.75,7.87,7.71,7.74,3.09619
5.191363636,-22.61213413,0.715110425,5.378697954,0.28992848,-0.067514172,4.19,2.18,3.43,5.15,9.24,7.39,6.53,5.78,3.23,3.73,3.47,2.48,2.18,4.49,4.32,2.89,5.39,7.28,8.08,7.68,7.29,7.81,3.41937
5.394090909,-21.65597563,-0.809201642,4.90115298,-1.016345281,1.17538149,5.8,1.82,2.93,4.06,8.32,7.03,5.74,6.32,3.81,4.17,4.79,1.99,2.05,5.24,4.55,3.41,5.5,7.53,8.49,9.13,7.53,8.46,4.10848
5.934545455,-19.51734384,3.829760209,6.945568608,-0.450648824,-0.056937242,4.43,2.82,5.5,7.04,9.5,9.2,7.31,8.67,6.24,4.12,4.98,1.19,1.48,5.05,4.34,3.01,5.88,7.44,8.06,8.5,7.44,8.36,5.22698
5.624772727,-20.85935208,2.058808119,6.622909443,-0.346318459,0.542369901,4.905,2.54,4.63,5.91,9.065,8.38,6.695,7.445,5.17,3.795,4.485,1.165,1.65,4.805,4.22,2.865,5.745,7.425,8.285,8.51,7.425,8.63,4.391635
5.315,-22.20136033,0.287856028,6.300250277,-0.241988093,1.141677044,5.38,2.26,3.76,4.78,8.63,7.56,6.08,6.22,4.1,3.47,3.99,1.14,1.82,4.56,4.1,2.72,5.61,7.41,8.51,8.52,7.41,8.9,3.55629
6.179545455,-18.03924132,1.773128016,4.233140324,-0.563234127,1.401967611,6.52,2.57,4.85,6.03,9.49,8.56,6.66,7.35,6.1,4.88,5.08,3.36,2.85,5.59,5.58,4.53,5.72,7.71,8.37,8.39,7.71,8.05,4.47514
6.324545455,-17.38511906,1.681360952,4.682564497,-0.595657604,1.175710665,6.22,2.69,5.13,6.32,9.57,8.78,6.66,7.88,6.06,4.55,5.45,3.33,2.65,5.82,5.86,5.07,5.69,7.65,8.52,9.03,7.66,8.55,4.95979
6.800909091,-15.37077324,3.380057758,6.07669892,-1.569323643,1.446584187,6.74,2.91,4.84,7.15,10.55,9.78,8.13,9.09,7.64,5.04,6.24,2.99,2.42,5.73,5.67,4.79,6.37,7.93,9.07,9.59,7.93,9.02,6.51648
6.713181818,-15.76708681,2.876908276,6.323666115,-1.343544396,1.500539327,6.63,2.82,5.4,6.9,10.19,9.57,7.86,9.35,7.3,4.41,5.43,3.14,2.69,5.4,5.74,4.64,6.12,8.18,8.76,9.61,8.18,9.37,6.40435
6.502272727,-16.73411841,3.0232784,6.754284743,-0.943106261,0.980711362,6.24,2.74,5.41,7.12,10.2,9.53,7.44,9.12,6.94,4.16,4.86,3.41,2.5,4.61,4.82,4.15,6.38,7.97,9.02,8.85,7.96,9.62,5.41681
6.580909091,-16.43231641,3.445554635,7.094782449,-0.807247925,1.238487041,6.73,2.58,5.42,7.94,10.7,9.55,7.34,8.86,7.34,4.23,4.83,3.29,3.1,4.78,4.62,3.41,5.23,7.97,9.27,9.9,7.96,9.73,5.65188
6.681363636,-15.84360815,2.596474917,5.453525515,-1.06086357,1.680549228,7.11,2.92,4.67,6.99,10.45,9.48,7.61,8.37,7.55,4.26,5.03,4.08,3.83,5.6,5.39,4.17,5.9,7.78,9.82,9.45,7.78,8.75,5.81971
6.732272727,-15.53910935,2.52847334,6.061784645,-0.97900019,0.823945172,6.48,2.67,5.53,7.11,10.66,9.87,7.48,8.63,6.52,4.19,5.25,4.42,4.11,5.41,4.73,4.23,5.72,8.54,8.88,9.33,8.55,9.8,5.5532
6.561363636,-16.42875376,2.593312312,6.579878369,-1.165580946,1.437883612,6.69,2.47,5.11,6.99,10.25,9.24,7.52,9.26,7.2,3.94,4.58,3.13,3.42,5.25,4.79,4.57,5.8,8.05,8.72,9.52,8.06,9.79,5.27655
6.343636364,-17.64072879,3.429733245,7.571454023,-1.325814422,1.668970091,6.79,2.83,5.05,6.76,10.43,9.58,7.33,9.29,7.32,3.81,4.23,3,2.64,4.22,3.48,2.81,5.18,8.08,9.14,10.18,8.08,9.33,5.33605
6.793636364,-15.23475418,1.379214657,6.111398823,-1.179786534,1.291230767,6.8,3.01,4.42,7.01,10.08,8.9,7,8.84,7.47,4.58,5.22,3.65,2.94,5.71,6.02,5.13,6.48,8.27,9.55,10.29,8.27,9.82,4.85803
6.788636364,-15.55142683,4.232761072,7.509432172,-0.416504355,1.717698858,7.12,2.89,6.11,8.11,11.19,10.31,7.72,9.72,7.54,4.33,4.96,2.8,2.23,5.01,4.45,4.24,6.33,8.23,9.27,9.67,8.23,8.89,5.67705
7.268181818,-13.31313883,3.518063193,7.78268065,0.515825078,1.589992368,6.97,4.44,6.25,8.51,11.45,10.35,8.25,9.39,8.03,4.93,5,2.24,2.44,5.81,5.65,5.7,8.23,8.43,10.05,10.28,8.43,9.07,5.84538
7.893181818,-10.29340914,3.745810829,7.125035354,-0.538214425,1.665089711,7.49,4.28,6.25,9.23,11.72,10.94,8.8,10.04,8.98,6.67,6,2.85,3.27,6.33,7.31,7.4,8.02,8.38,10.26,10.7,8.39,10.34,6.74588
7.997272727,-9.70903475,3.838693817,6.088127971,-0.207942348,1.396753624,7.95,5.12,6.09,9.38,11.35,11.09,8.52,10.2,8.29,7.3,6.84,3.84,3.42,5.85,7.43,7.38,8.16,8.35,10.03,10.97,8.35,10.03,6.71119
7.776818182,-10.62697965,2.566898303,5.935128848,-0.670031738,1.874751411,8.21,4.86,4.92,8.22,10.8,10.33,7.77,10.1,8.57,7.68,6.06,2.75,2.98,6.39,7.53,7.27,9.04,8.78,9.91,9.99,8.78,10.15,6.55586
8.028636364,-9.242782565,1.684944331,4.455770998,-0.901705846,1.739185985,8.33,4.27,5.05,8.3,10.95,10.19,8.16,9.75,8.47,6.89,6.43,4.86,5,6.34,8.76,8.38,7.95,9.4,9.78,10.27,9.4,9.7,6.45119
8.178181818,-8.517982708,2.054769556,4.17084019,-1.430469473,1.30845394,8.08,4.1,5.45,8.21,10.95,10.5,8.28,10.09,9.06,7.51,6.91,4.94,5.12,6.3,8.99,8.74,8.8,9.36,9.34,9.96,9.36,9.87,6.79925
7.987727273,-9.401456918,3.328460775,3.091982742,-0.978621175,0.873211015,7.59,5.09,5.66,8.39,10.86,9.84,8.4,9.77,9.27,8.09,6.89,4.81,5.51,6.27,8.51,8.3,7.94,8.88,8.91,8,8.89,9.86,6.15259
8.200909091,-8.459104347,3.288138306,3.018022729,-2.047814967,1.462842209,8.02,4.62,5.59,7.94,11.02,10.23,9.21,10.24,9.58,7.84,7.58,5.21,6.12,6.21,8.71,8.91,7.14,9.37,9.28,8.64,9.37,9.59,6.75208
8.263636364,-8.100832592,2.266578291,2.594071255,-1.580175409,0.826012331,8.13,4.5,5.62,8.19,10.62,10.15,8.77,9.79,9.11,7.39,7.4,6.57,7.17,7.14,8.28,7.99,7.75,8.7,9.59,10.54,8.71,9.69,6.50716
